
/home/dl/anaconda3/envs/ly_transmvs/bin/python /home/dl/ly_pro/3DRecon/Recon_Ablation/Mobile_trans0918/train.py --logdir=./outputs/dtu_training --dataset=dtu_yao --batch_size=6 --epochs=16 --trainpath=/home/dl/dataset/DTU1/mvs_training/dtu/ --trainlist=lists/dtu/train.txt --testlist=lists/dtu/val.txt --numdepth=192 --ndepths=32,16,8,4 --nviews=5 --wd=0.0001 --depth_inter_r=8.0, 4.0,1.0,0.5 --lrepochs=6,8,12:2 --dlossw=1.0,1.0,1.0,1.0
current time 20230919_164239
creating new summary file
argv: ['--logdir=./outputs/dtu_training', '--dataset=dtu_yao', '--batch_size=6', '--epochs=16', '--trainpath=/home/dl/dataset/DTU1/mvs_training/dtu/', '--trainlist=lists/dtu/train.txt', '--testlist=lists/dtu/val.txt', '--numdepth=192', '--ndepths=32,16,8,4', '--nviews=5', '--wd=0.0001', '--depth_inter_r=8.0, 4.0,1.0,0.5', '--lrepochs=6,8,12:2', '--dlossw=1.0,1.0,1.0,1.0']
################################  args  ################################
mode      	train                         	<class 'str'>
model     	mvsnet                        	<class 'str'>
device    	cuda                          	<class 'str'>
dataset   	dtu_yao                       	<class 'str'>
trainpath 	/home/dl/dataset/DTU1/mvs_training/dtu/	<class 'str'>
testpath  	/home/dl/dataset/DTU1/mvs_training/dtu/	<class 'str'>
trainlist 	lists/dtu/train.txt           	<class 'str'>
testlist  	lists/dtu/val.txt             	<class 'str'>
epochs    	16                            	<class 'int'>
lr        	0.001                         	<class 'float'>
lrepochs  	6,8,12:2                      	<class 'str'>
wd        	0.0001                        	<class 'float'>
nviews    	5                             	<class 'int'>
batch_size	6                             	<class 'int'>
numdepth  	192                           	<class 'int'>
interval_scale	1.06                          	<class 'float'>
loadckpt  	None                          	<class 'NoneType'>
logdir    	./outputs/dtu_training        	<class 'str'>
resume    	False                         	<class 'bool'>
summary_freq	10                            	<class 'int'>
save_freq 	1                             	<class 'int'>
eval_freq 	1                             	<class 'int'>
seed      	1                             	<class 'int'>
pin_m     	False                         	<class 'bool'>
local_rank	0                             	<class 'int'>
share_cr  	False                         	<class 'bool'>
ndepths   	32,16,8,4                     	<class 'str'>
fea_channels	64,32,16,8                    	<class 'str'>
depth_inter_r	8.0, 4.0,1.0,0.5              	<class 'str'>
dlossw    	1.0,1.0,1.0,1.0               	<class 'str'>
cr_base_chs	8,8,8,4                       	<class 'str'>
grad_method	detach                        	<class 'str'>
using_apex	False                         	<class 'bool'>
sync_bn   	False                         	<class 'bool'>
opt_level 	O0                            	<class 'str'>
keep_batchnorm_fp32	None                          	<class 'NoneType'>
loss_scale	None                          	<class 'NoneType'>
########################################################################
**********netphs:[32, 16, 8, 4], depth_intervals_ratio:[8.0, 4.0, 1.0, 0.5],  grad:detach, chs:[8, 8, 8, 4]************
start at epoch 0
Number of model parameters: 3503673
Let's use 1 GPUs!
mvsdataset kwargs {}
dataset train metas: 27097
mvsdataset kwargs {}
dataset test metas: 6174
/home/dl/anaconda3/envs/ly_transmvs/lib/python3.8/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Epoch 0/16, Iter 0/4516, lr 0.000335, train loss = 19.949, depth loss = 155.916, entropy loss = 19.949, time = 7.534
Epoch 0/16, Iter 280/4516, lr 0.000708, train loss = 11.202, depth loss = 27.576, entropy loss = 11.202, time = 1.576
Epoch 0/16, Iter 290/4516, lr 0.000721, train loss = 11.109, depth loss = 26.627, entropy loss = 11.109, time = 1.581
Epoch 0/16, Iter 300/4516, lr 0.000735, train loss = 10.758, depth loss = 20.723, entropy loss = 10.758, time = 1.581
Epoch 0/16, Iter 310/4516, lr 0.000748, train loss = 12.320, depth loss = 29.992, entropy loss = 12.320, time = 1.581
Epoch 0/16, Iter 320/4516, lr 0.000761, train loss = 9.934, depth loss = 11.370, entropy loss = 9.934, time = 1.573
Epoch 0/16, Iter 330/4516, lr 0.000775, train loss = 10.859, depth loss = 14.001, entropy loss = 10.859, time = 1.578
Epoch 0/16, Iter 340/4516, lr 0.000788, train loss = 10.188, depth loss = 14.259, entropy loss = 10.188, time = 1.579
Epoch 0/16, Iter 350/4516, lr 0.000801, train loss = 11.217, depth loss = 35.693, entropy loss = 11.217, time = 1.580
Epoch 0/16, Iter 360/4516, lr 0.000815, train loss = 10.546, depth loss = 14.356, entropy loss = 10.546, time = 1.583
Epoch 0/16, Iter 370/4516, lr 0.000828, train loss = 11.621, depth loss = 32.892, entropy loss = 11.621, time = 1.584
Epoch 0/16, Iter 380/4516, lr 0.000841, train loss = 10.509, depth loss = 22.950, entropy loss = 10.509, time = 1.618
Epoch 0/16, Iter 390/4516, lr 0.000855, train loss = 10.482, depth loss = 24.716, entropy loss = 10.482, time = 1.576
Epoch 0/16, Iter 400/4516, lr 0.000868, train loss = 10.461, depth loss = 20.748, entropy loss = 10.461, time = 1.590
Epoch 0/16, Iter 410/4516, lr 0.000881, train loss = 9.853, depth loss = 13.810, entropy loss = 9.853, time = 1.584
Epoch 0/16, Iter 420/4516, lr 0.000895, train loss = 10.543, depth loss = 19.030, entropy loss = 10.543, time = 1.576
Epoch 0/16, Iter 430/4516, lr 0.000908, train loss = 10.689, depth loss = 22.394, entropy loss = 10.689, time = 1.594
Epoch 0/16, Iter 440/4516, lr 0.000921, train loss = 9.879, depth loss = 15.026, entropy loss = 9.879, time = 1.583
Epoch 0/16, Iter 450/4516, lr 0.000935, train loss = 11.155, depth loss = 19.672, entropy loss = 11.155, time = 1.600
Epoch 0/16, Iter 460/4516, lr 0.000948, train loss = 11.060, depth loss = 17.025, entropy loss = 11.060, time = 1.594
Epoch 0/16, Iter 470/4516, lr 0.000961, train loss = 9.958, depth loss = 11.982, entropy loss = 9.958, time = 1.596
Epoch 0/16, Iter 480/4516, lr 0.000975, train loss = 10.339, depth loss = 15.297, entropy loss = 10.339, time = 1.584
Epoch 0/16, Iter 490/4516, lr 0.000988, train loss = 10.657, depth loss = 26.623, entropy loss = 10.657, time = 1.587
Epoch 0/16, Iter 500/4516, lr 0.001000, train loss = 9.011, depth loss = 7.088, entropy loss = 9.011, time = 1.577
Epoch 0/16, Iter 510/4516, lr 0.001000, train loss = 10.345, depth loss = 12.718, entropy loss = 10.345, time = 1.583
Epoch 0/16, Iter 520/4516, lr 0.001000, train loss = 9.649, depth loss = 16.898, entropy loss = 9.649, time = 1.585
Epoch 0/16, Iter 530/4516, lr 0.001000, train loss = 10.727, depth loss = 17.964, entropy loss = 10.727, time = 1.591
Epoch 0/16, Iter 540/4516, lr 0.001000, train loss = 9.140, depth loss = 8.395, entropy loss = 9.140, time = 1.583
Epoch 0/16, Iter 550/4516, lr 0.001000, train loss = 10.530, depth loss = 14.938, entropy loss = 10.530, time = 1.580
Epoch 0/16, Iter 560/4516, lr 0.001000, train loss = 10.532, depth loss = 16.978, entropy loss = 10.532, time = 1.595
Epoch 0/16, Iter 570/4516, lr 0.001000, train loss = 9.609, depth loss = 14.512, entropy loss = 9.609, time = 1.585
Epoch 0/16, Iter 580/4516, lr 0.001000, train loss = 10.065, depth loss = 12.332, entropy loss = 10.065, time = 1.590
Epoch 0/16, Iter 590/4516, lr 0.001000, train loss = 9.904, depth loss = 9.790, entropy loss = 9.904, time = 1.602
Epoch 0/16, Iter 600/4516, lr 0.001000, train loss = 9.105, depth loss = 9.458, entropy loss = 9.105, time = 1.574
Epoch 0/16, Iter 610/4516, lr 0.001000, train loss = 10.340, depth loss = 17.574, entropy loss = 10.340, time = 1.590
Epoch 0/16, Iter 620/4516, lr 0.001000, train loss = 9.471, depth loss = 13.559, entropy loss = 9.471, time = 1.586
Epoch 0/16, Iter 630/4516, lr 0.001000, train loss = 9.487, depth loss = 9.523, entropy loss = 9.487, time = 1.583
Epoch 0/16, Iter 640/4516, lr 0.001000, train loss = 9.296, depth loss = 12.414, entropy loss = 9.296, time = 1.592
Epoch 0/16, Iter 650/4516, lr 0.001000, train loss = 9.506, depth loss = 9.501, entropy loss = 9.506, time = 1.587
Epoch 0/16, Iter 660/4516, lr 0.001000, train loss = 11.402, depth loss = 19.727, entropy loss = 11.402, time = 1.585
Epoch 0/16, Iter 670/4516, lr 0.001000, train loss = 10.011, depth loss = 17.163, entropy loss = 10.011, time = 1.587
Epoch 0/16, Iter 680/4516, lr 0.001000, train loss = 9.241, depth loss = 9.725, entropy loss = 9.241, time = 1.581
Epoch 0/16, Iter 690/4516, lr 0.001000, train loss = 9.532, depth loss = 13.890, entropy loss = 9.532, time = 1.588
Epoch 0/16, Iter 700/4516, lr 0.001000, train loss = 8.921, depth loss = 8.083, entropy loss = 8.921, time = 1.578
Epoch 0/16, Iter 710/4516, lr 0.001000, train loss = 9.614, depth loss = 19.820, entropy loss = 9.614, time = 1.586
Epoch 0/16, Iter 720/4516, lr 0.001000, train loss = 10.006, depth loss = 11.405, entropy loss = 10.006, time = 1.586
Epoch 0/16, Iter 730/4516, lr 0.001000, train loss = 9.232, depth loss = 8.534, entropy loss = 9.232, time = 1.586
Epoch 0/16, Iter 740/4516, lr 0.001000, train loss = 10.607, depth loss = 20.426, entropy loss = 10.607, time = 1.587
Epoch 0/16, Iter 750/4516, lr 0.001000, train loss = 9.330, depth loss = 18.712, entropy loss = 9.330, time = 1.592
Epoch 0/16, Iter 760/4516, lr 0.001000, train loss = 9.300, depth loss = 11.359, entropy loss = 9.300, time = 1.584
Epoch 0/16, Iter 770/4516, lr 0.001000, train loss = 9.413, depth loss = 8.785, entropy loss = 9.413, time = 1.598
Epoch 0/16, Iter 780/4516, lr 0.001000, train loss = 10.911, depth loss = 19.088, entropy loss = 10.911, time = 1.587
Epoch 0/16, Iter 790/4516, lr 0.001000, train loss = 9.650, depth loss = 14.820, entropy loss = 9.650, time = 1.580
Epoch 0/16, Iter 800/4516, lr 0.001000, train loss = 10.728, depth loss = 17.260, entropy loss = 10.728, time = 1.583
Epoch 0/16, Iter 810/4516, lr 0.001000, train loss = 8.686, depth loss = 10.050, entropy loss = 8.686, time = 1.581
Epoch 0/16, Iter 820/4516, lr 0.001000, train loss = 10.794, depth loss = 22.871, entropy loss = 10.794, time = 1.587
Epoch 0/16, Iter 830/4516, lr 0.001000, train loss = 9.351, depth loss = 11.628, entropy loss = 9.351, time = 1.598
Epoch 0/16, Iter 840/4516, lr 0.001000, train loss = 9.092, depth loss = 9.418, entropy loss = 9.092, time = 1.577
Epoch 0/16, Iter 850/4516, lr 0.001000, train loss = 9.216, depth loss = 15.047, entropy loss = 9.216, time = 1.585
Epoch 0/16, Iter 860/4516, lr 0.001000, train loss = 10.281, depth loss = 11.975, entropy loss = 10.281, time = 1.587
Epoch 0/16, Iter 870/4516, lr 0.001000, train loss = 8.775, depth loss = 8.113, entropy loss = 8.775, time = 1.577
Epoch 0/16, Iter 880/4516, lr 0.001000, train loss = 9.378, depth loss = 16.494, entropy loss = 9.378, time = 1.574
Epoch 0/16, Iter 890/4516, lr 0.001000, train loss = 10.601, depth loss = 12.919, entropy loss = 10.601, time = 1.578
Epoch 0/16, Iter 900/4516, lr 0.001000, train loss = 10.230, depth loss = 19.614, entropy loss = 10.230, time = 1.594
Epoch 0/16, Iter 910/4516, lr 0.001000, train loss = 10.062, depth loss = 13.274, entropy loss = 10.062, time = 1.584
Epoch 0/16, Iter 920/4516, lr 0.001000, train loss = 9.625, depth loss = 8.832, entropy loss = 9.625, time = 1.584
Epoch 0/16, Iter 930/4516, lr 0.001000, train loss = 9.021, depth loss = 7.951, entropy loss = 9.021, time = 1.602
Epoch 0/16, Iter 940/4516, lr 0.001000, train loss = 9.901, depth loss = 10.260, entropy loss = 9.901, time = 1.589
Epoch 0/16, Iter 950/4516, lr 0.001000, train loss = 8.931, depth loss = 8.839, entropy loss = 8.931, time = 1.586
Epoch 0/16, Iter 960/4516, lr 0.001000, train loss = 11.187, depth loss = 27.287, entropy loss = 11.187, time = 1.583
Epoch 0/16, Iter 970/4516, lr 0.001000, train loss = 9.579, depth loss = 8.218, entropy loss = 9.579, time = 1.586
Epoch 0/16, Iter 980/4516, lr 0.001000, train loss = 10.110, depth loss = 16.793, entropy loss = 10.110, time = 1.594
Epoch 0/16, Iter 990/4516, lr 0.001000, train loss = 9.623, depth loss = 14.830, entropy loss = 9.623, time = 1.582
Epoch 0/16, Iter 1000/4516, lr 0.001000, train loss = 9.131, depth loss = 8.791, entropy loss = 9.131, time = 1.574
Epoch 0/16, Iter 1010/4516, lr 0.001000, train loss = 9.729, depth loss = 10.404, entropy loss = 9.729, time = 1.586
Epoch 0/16, Iter 1020/4516, lr 0.001000, train loss = 9.961, depth loss = 10.814, entropy loss = 9.961, time = 1.586
Epoch 0/16, Iter 1030/4516, lr 0.001000, train loss = 9.349, depth loss = 11.275, entropy loss = 9.349, time = 1.585
Epoch 0/16, Iter 1040/4516, lr 0.001000, train loss = 10.973, depth loss = 26.804, entropy loss = 10.973, time = 1.589
Epoch 0/16, Iter 1050/4516, lr 0.001000, train loss = 10.150, depth loss = 16.382, entropy loss = 10.150, time = 1.583
Epoch 0/16, Iter 1060/4516, lr 0.001000, train loss = 10.222, depth loss = 25.233, entropy loss = 10.222, time = 1.588
Epoch 0/16, Iter 1070/4516, lr 0.001000, train loss = 9.196, depth loss = 9.787, entropy loss = 9.196, time = 1.575
Epoch 0/16, Iter 1080/4516, lr 0.001000, train loss = 9.555, depth loss = 14.196, entropy loss = 9.555, time = 1.588
Epoch 0/16, Iter 1090/4516, lr 0.001000, train loss = 9.402, depth loss = 14.681, entropy loss = 9.402, time = 1.585
Epoch 0/16, Iter 1100/4516, lr 0.001000, train loss = 8.923, depth loss = 10.507, entropy loss = 8.923, time = 1.579
Epoch 0/16, Iter 1110/4516, lr 0.001000, train loss = 9.958, depth loss = 15.676, entropy loss = 9.958, time = 1.592
Epoch 0/16, Iter 1120/4516, lr 0.001000, train loss = 8.651, depth loss = 15.016, entropy loss = 8.651, time = 1.591
Epoch 0/16, Iter 1130/4516, lr 0.001000, train loss = 9.184, depth loss = 14.589, entropy loss = 9.184, time = 1.583
Epoch 0/16, Iter 1140/4516, lr 0.001000, train loss = 9.525, depth loss = 12.882, entropy loss = 9.525, time = 1.593
Epoch 0/16, Iter 1150/4516, lr 0.001000, train loss = 9.633, depth loss = 11.658, entropy loss = 9.633, time = 1.584
Epoch 0/16, Iter 1160/4516, lr 0.001000, train loss = 9.347, depth loss = 14.354, entropy loss = 9.347, time = 1.592
Epoch 0/16, Iter 1170/4516, lr 0.001000, train loss = 9.236, depth loss = 10.024, entropy loss = 9.236, time = 1.587
Epoch 0/16, Iter 1180/4516, lr 0.001000, train loss = 9.616, depth loss = 18.514, entropy loss = 9.616, time = 1.584
Epoch 0/16, Iter 1190/4516, lr 0.001000, train loss = 10.831, depth loss = 14.457, entropy loss = 10.831, time = 1.580
Epoch 0/16, Iter 1200/4516, lr 0.001000, train loss = 8.934, depth loss = 10.330, entropy loss = 8.934, time = 1.579
Epoch 0/16, Iter 1210/4516, lr 0.001000, train loss = 8.997, depth loss = 7.100, entropy loss = 8.997, time = 1.600
Epoch 0/16, Iter 1220/4516, lr 0.001000, train loss = 8.955, depth loss = 8.136, entropy loss = 8.955, time = 1.588
Epoch 0/16, Iter 1230/4516, lr 0.001000, train loss = 9.309, depth loss = 10.241, entropy loss = 9.309, time = 1.588
Epoch 0/16, Iter 1240/4516, lr 0.001000, train loss = 8.864, depth loss = 9.824, entropy loss = 8.864, time = 1.601
Epoch 0/16, Iter 1250/4516, lr 0.001000, train loss = 8.941, depth loss = 12.657, entropy loss = 8.941, time = 1.588
Epoch 0/16, Iter 1260/4516, lr 0.001000, train loss = 9.942, depth loss = 13.618, entropy loss = 9.942, time = 1.599
Epoch 0/16, Iter 1270/4516, lr 0.001000, train loss = 10.624, depth loss = 22.988, entropy loss = 10.624, time = 1.596
Epoch 0/16, Iter 1280/4516, lr 0.001000, train loss = 8.900, depth loss = 8.302, entropy loss = 8.900, time = 1.585
Epoch 0/16, Iter 1290/4516, lr 0.001000, train loss = 9.284, depth loss = 12.532, entropy loss = 9.284, time = 1.582
Epoch 0/16, Iter 1300/4516, lr 0.001000, train loss = 8.578, depth loss = 8.399, entropy loss = 8.578, time = 1.593
Epoch 0/16, Iter 1310/4516, lr 0.001000, train loss = 9.297, depth loss = 11.545, entropy loss = 9.297, time = 1.582
Epoch 0/16, Iter 1320/4516, lr 0.001000, train loss = 8.989, depth loss = 10.974, entropy loss = 8.989, time = 1.579
Epoch 0/16, Iter 1330/4516, lr 0.001000, train loss = 9.142, depth loss = 12.322, entropy loss = 9.142, time = 1.613
Epoch 0/16, Iter 1340/4516, lr 0.001000, train loss = 8.445, depth loss = 10.825, entropy loss = 8.445, time = 1.589
Epoch 0/16, Iter 1350/4516, lr 0.001000, train loss = 8.895, depth loss = 10.398, entropy loss = 8.895, time = 1.594
Epoch 0/16, Iter 1360/4516, lr 0.001000, train loss = 9.706, depth loss = 16.539, entropy loss = 9.706, time = 1.605
Epoch 0/16, Iter 1370/4516, lr 0.001000, train loss = 9.599, depth loss = 10.725, entropy loss = 9.599, time = 1.610
Epoch 0/16, Iter 1380/4516, lr 0.001000, train loss = 8.216, depth loss = 9.233, entropy loss = 8.216, time = 1.593
Epoch 0/16, Iter 1390/4516, lr 0.001000, train loss = 9.281, depth loss = 11.174, entropy loss = 9.281, time = 1.587
Epoch 0/16, Iter 1400/4516, lr 0.001000, train loss = 8.581, depth loss = 11.515, entropy loss = 8.581, time = 1.578
Epoch 0/16, Iter 1410/4516, lr 0.001000, train loss = 7.814, depth loss = 10.432, entropy loss = 7.814, time = 1.580
Epoch 0/16, Iter 1420/4516, lr 0.001000, train loss = 9.224, depth loss = 15.690, entropy loss = 9.224, time = 1.581
Epoch 0/16, Iter 1430/4516, lr 0.001000, train loss = 8.117, depth loss = 6.621, entropy loss = 8.117, time = 1.586
Epoch 0/16, Iter 1440/4516, lr 0.001000, train loss = 8.443, depth loss = 7.315, entropy loss = 8.443, time = 1.580
Epoch 0/16, Iter 1450/4516, lr 0.001000, train loss = 9.177, depth loss = 13.889, entropy loss = 9.177, time = 1.583
Epoch 0/16, Iter 1460/4516, lr 0.001000, train loss = 9.135, depth loss = 19.703, entropy loss = 9.135, time = 1.588
Epoch 0/16, Iter 1470/4516, lr 0.001000, train loss = 9.365, depth loss = 16.691, entropy loss = 9.365, time = 1.587
Epoch 0/16, Iter 1480/4516, lr 0.001000, train loss = 8.337, depth loss = 11.681, entropy loss = 8.337, time = 1.589
Epoch 0/16, Iter 1490/4516, lr 0.001000, train loss = 8.346, depth loss = 9.669, entropy loss = 8.346, time = 1.584
Epoch 0/16, Iter 1500/4516, lr 0.001000, train loss = 9.235, depth loss = 11.124, entropy loss = 9.235, time = 1.596
Epoch 0/16, Iter 1510/4516, lr 0.001000, train loss = 7.921, depth loss = 5.031, entropy loss = 7.921, time = 1.582
Epoch 0/16, Iter 1520/4516, lr 0.001000, train loss = 8.268, depth loss = 5.527, entropy loss = 8.268, time = 1.581
Epoch 0/16, Iter 1530/4516, lr 0.001000, train loss = 8.416, depth loss = 14.563, entropy loss = 8.416, time = 1.593
Epoch 0/16, Iter 1540/4516, lr 0.001000, train loss = 9.643, depth loss = 18.263, entropy loss = 9.643, time = 1.591
Epoch 0/16, Iter 1550/4516, lr 0.001000, train loss = 7.244, depth loss = 5.734, entropy loss = 7.244, time = 1.590
Epoch 0/16, Iter 1560/4516, lr 0.001000, train loss = 9.288, depth loss = 17.445, entropy loss = 9.288, time = 1.594
Epoch 0/16, Iter 1570/4516, lr 0.001000, train loss = 8.265, depth loss = 8.643, entropy loss = 8.265, time = 1.581
Epoch 0/16, Iter 1580/4516, lr 0.001000, train loss = 7.407, depth loss = 4.514, entropy loss = 7.407, time = 1.608
Epoch 0/16, Iter 1590/4516, lr 0.001000, train loss = 9.110, depth loss = 13.766, entropy loss = 9.110, time = 1.590
Epoch 0/16, Iter 1600/4516, lr 0.001000, train loss = 8.775, depth loss = 22.872, entropy loss = 8.775, time = 1.584
Epoch 0/16, Iter 1610/4516, lr 0.001000, train loss = 7.527, depth loss = 5.642, entropy loss = 7.527, time = 1.591
Epoch 0/16, Iter 1620/4516, lr 0.001000, train loss = 9.410, depth loss = 16.660, entropy loss = 9.410, time = 1.603
Epoch 0/16, Iter 1630/4516, lr 0.001000, train loss = 9.884, depth loss = 13.947, entropy loss = 9.884, time = 1.597
Epoch 0/16, Iter 1640/4516, lr 0.001000, train loss = 8.157, depth loss = 10.584, entropy loss = 8.157, time = 1.594
Epoch 0/16, Iter 1650/4516, lr 0.001000, train loss = 8.469, depth loss = 11.715, entropy loss = 8.469, time = 1.604
Epoch 0/16, Iter 1660/4516, lr 0.001000, train loss = 8.750, depth loss = 15.734, entropy loss = 8.750, time = 1.593
